tweet_id,relevance,grounding,helpfulness,conciseness,unsupported_claims,tone,evaluation_method
863336,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2399207,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
683810,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
545729,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2830767,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1223698,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1050383,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
425137,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
453197,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1018224,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2902516,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
150619,1.0,0.0,0.5,0.0,0.0,1.0,heuristic
1676431,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
671593,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2401212,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2199057,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
306615,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1544131,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
285119,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
287925,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
234175,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2142987,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
915389,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
1303295,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
498389,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
757164,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1057362,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
205103,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2604251,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1424215,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1530345,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2826440,1.0,1.0,0.5,1.0,0.0,1.0,heuristic
1373386,0.0,0.0,0.5,1.0,0.0,1.0,heuristic
807346,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2319672,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
2394442,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
1399885,1.0,0.0,0.5,1.0,0.0,1.0,heuristic
